player_name_ep,player_link_ep,date_of_birth,nation,player_pos,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
Dmitri Bykov,https://www.eliteprospects.com/player/17971/dmitri-bykov,5/5/1977,Russia,D,185,94,L,,,"('8', '258', '2001')",['1-time World Championship Silver Medal'],Sons: Maxim D.
Stacy Roest,https://www.eliteprospects.com/player/10835/stacy-roest,5/15/1974,Canada,C,175,84,R,,,,"['1-time NL Media All-Star Team', '1-time NL Most Assists', '1-time Spengler Cup Winner', '1-time WHL (East) First All-Star Team']",A right-handed center who also can play the wing. Is a good playmaker who excels on with the man advantage. Skates very well and has fine hands. Has solid leadership abilities. Doesn't play a physical game.
Niklas Kronwall,https://www.eliteprospects.com/player/69/niklas-kronwall,1/12/1981,Sweden,D,182,88,L,"['Heavy Hitter', 'Two-Way Defenseman']",,"('1', '29', '2000')","['1-time U18 EJC Gold Medal', '1-time Olympic Gold Medal', '1-time World Championship Gold Medal', '1-time Triple Gold Club', '1-time U18 WJC Silver Medal', '1-time World Championship Silver Medal', '1-time Olympic Silver Medal', '1-time AHL Best Defenseman (Eddie Shore Award)', '1-time AHL First All-Star Team', '1-time NHL Stanley Cup Champion', '2-time SHL Champion', '1-time Swedish Junior Hockey Player of the Year (Årets Junior)', '1-time U18 WJC All-Star Team', '2-time World Championship All-Star Team', '1-time World Championship Best Defenseman', '1-time World Championship Most Valuable Player']","Niklas Kronwall was a defenseman known for his offensive game and ability to absolutely wreck unsuspecting opponents with huge open-ice hits. An excellent skater with great agility and balance, he was a quality passer of the puck, too.
- Erik K. Piri, Elite Prospects



Brothers: Staffan Kronwall, Mattias Kronwall, Nephew: Wilmer Kronwall

Official website: www.niklaskronwall."
Kevin Miller,https://www.eliteprospects.com/player/27810/kevin-miller,9/2/1965,USA,RW,180,84,R,,,"('10', '203', '1984')","['1-time NL Champion', '1-time NL Most Goals', '2-time Spengler Cup Winner']","Daughter: Neysa Miller
Father: Lyle Miller
Brothers: Kip Miller & Kelly Miller
Cousins: Drew Miller, Ryan Miller & Dean Miller
Uncle: Elwood Miller
Nephew: Skylar Miller"
Ryan Barnes,https://www.eliteprospects.com/player/69491/ryan-barnes,1/30/1980,Canada,LW,185,91,L,,,"('2', '55', '1998')",['1-time OHL Champion'],"Brother: Mitch Barnes
Son: Blake Barnes"
Johan Franzen,https://www.eliteprospects.com/player/158/johan-franzen,12/23/1979,Sweden,W/C,189,105,L,"['Net-Front Presence', 'Power Forward', 'PP Specialist']",,"('3', '97', '2004')","['1-time World Championship Gold Medal', '1-time TV-Pucken Bronze Medal', '1-time NHL Stanley Cup Champion']","Son: Eddie-Bo Franzén, Father: Per-Gunnar Franzén, Nephew: Alfred Kjellflo"
Jonathan Ericsson,https://www.eliteprospects.com/player/1346/jonathan-ericsson,3/2/1984,Sweden,D,195,99,L,['Defensive Defenseman'],,"('9', '291', '2002')","['1-time Olympic Silver Medal', '1-time World Championship Bronze Medal']","A large and strong defenceman. Good reach and strength, has a heavy shot. Gives a quick opening pass. Has improved physically during his time in North America."
Garrett Stafford,https://www.eliteprospects.com/player/10625/garrett-stafford,1/28/1980,USA,D,184,84,R,,,,"['1-time AHL All-Rookie Team', '1-time AHL Second All-Star Team', '2-time NCAA (Hockey East) Champion', '1-time Spengler Cup Winner', '1-time USHL Clark Cup Champion']","Stafford is a puck-moving, two-way defenseman. He owns great vision from the backend and the ability to make plays. His good right-handed shot can be an asset on the powerplay."
Justin Abdelkader,https://www.eliteprospects.com/player/10460/justin-abdelkader,2/25/1987,USA,LW/RW,187,97,L,['Net-Front Presence'],,"('2', '42', '2005')","['1-time U20 WJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time AHL All-Rookie Team', '1-time NCAA (Championship) Winner', '1-time NL Champion', '1-time USHL Clark Cup Champion']",Two-way agitating forward with decent size. Pretty good skater and versatile enough to play both as a center or left wing. Inconsistent offensively and more of a checking-line player.
Mike Modano,https://www.eliteprospects.com/player/8965/mike-modano,6/7/1970,USA,C,191,94,L,"['Playmaker', 'Sniper', 'Speedster']",,"('1', '1', '1988')","['1-time World Cup Gold Medal', '1-time Olympic Silver Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL All-Rookie Team', '1-time NHL Second All-Star Team', '1-time NHL Stanley Cup Champion', '1-time United States Hockey Hall of Fame', '1-time WHL (East) First All-Star Team']","Modano had an abundance of skill and speed. Despite being a big body, he owned outstanding skating ability. The center also displayed terrific two-way play throughout his career."
Cory Emmerton,https://www.eliteprospects.com/player/9348/cory-emmerton,6/1/1988,Canada,C,185,87,L,,,"('2', '41', '2006')",['2-time Spengler Cup Winner'],"Emmerton is a smart center with a fine two-way game. Owns both hockey sense and solid offensive instincts, with good vision and a pretty good nose for the net. Could use more bulk to battle bigger defensemen.
- Erik K."
Jan Mursak,https://www.eliteprospects.com/player/11112/jan-mursak,1/20/1988,Slovenia,C/RW,181,83,R,,,"('6', '182', '2006')","['1-time AHL Calder Cup Champion', '1-time NL Champion', '1-time OHL Second All-Rookie Team']",Jan Muršak is known as a two-way player who can play center and wing. A very fast skater and quality faceoff man. Good vision and passing ability make him a fine playmaker. Somewhat lacking in size and strength.
Fabian Brunnstrom,https://www.eliteprospects.com/player/6659/fabian-brunnstrom,2/6/1985,Sweden,RW,186,93,L,,,,"['1-time HockeyEttan (Overall) Most Goals', '1-time HockeyEttan (Overall) Most Points', '1-time HockeyEttan to HockeyAllsvenskan Promotion']",Brunnström is an offensive winger with good hands and stickhandling skills. Also skates well with the puck and handles it well at full speed. Hard to knock off his feet in the corners. Has a good attitude.
Joakim Andersson,https://www.eliteprospects.com/player/4087/joakim-andersson,2/5/1989,Sweden,C,188,90,L,,,"('3', '88', '2007')","['2-time J20 SM Gold Medal', '2-time U20 WJC Silver Medal', '1-time U18 WJC Bronze Medal', '1-time AHL Calder Cup Champion']","Andersson has very good size and strength and leadership abilities. Is aggressive and pretty physical, but could still play the body even more. Hockey sense is very good and playmaking ability above average. A good penalty killer. The knock Andersson is his skating and mobility. Not the slowest of skaters by any means, but acceleration could use some work.
- Elite Prospects (2009)

Andersson missed the entire 2016/17 season due to a hip injury."
Brian Lashoff,https://www.eliteprospects.com/player/15481/brian-lashoff,7/16/1990,USA,D,191,98,L,,,,"['1-time U20 WJC Gold Medal', '2-time AHL Calder Cup Champion']","Brother : Matt Lashoff
Nephew : Ryder Lashoff"
Danny DeKeyser,https://www.eliteprospects.com/player/46947/danny-dekeyser,3/7/1990,USA,D,191,83,L,,,,"['1-time AHL Calder Cup Champion', '1-time NCAA (CCHA) Champion', '2-time NCAA (West) Second All-American Team']",
Daniel Alfredsson,https://www.eliteprospects.com/player/702/daniel-alfredsson,12/11/1972,Sweden / Canada,RW,182,92,R,,,"('6', '133', '1994')","['1-time Olympic Gold Medal', '2-time World Championship Silver Medal', '1-time Olympic Silver Medal', '2-time World Championship Bronze Medal', '1-time Hockey Hall of Fame', '1-time IIHF Hall of Fame', '1-time NHL All-Rookie Team', '1-time NHL Leadership-Humanitarian Award (King Clancy Trophy)', '1-time NHL Mark Messier Leadership Award', '1-time NHL Rookie of the Year (Calder Trophy)', '1-time NHL Second All-Star Team', '1-time SHL Champion']","Brother: Henric Alfredsson
Sons: Fenix Alfredsson, Hugo Alfredsson, Loui Alfredsson

One of the best Swedish players in NHL history, Alfredsson leads the Senators franchise with 426 goals, 682 assists, and 1,108 points. The Ottawa legend won the Calder Trophy his rookie year, scoring 26 goals and 61 points. Over his career, Alfredsson won an SHL Championship in 2005 and Olympic gold with Sweden in 2006. Daniel is also a 6x All-Star and scored at least a point per game in 8 seasons."
Adam Almquist,https://www.eliteprospects.com/player/10378/adam-almquist,2/27/1991,Sweden,D,181,79,L,,,"('7', '210', '2009')","['1-time TV-Pucken Gold Medal', '1-time AHL Calder Cup Champion', '1-time AHL Second All-Star Team', '1-time NL Champion', '2-time SHL Champion']","A puck-moving defenseman, Almquist has top-notch hockey sense and passing ability. Has the ability to turn the game quickly with long and distinct passes. Puts up a lot of points from the blueline, where his set-up ability comes in handy.

However, Almquist could seek to improve his mobility. Although being undersized, he likes to play the body at times, but his game would improve with better size and strength."
Mitch Callahan,https://www.eliteprospects.com/player/36708/mitch-callahan,8/17/1991,USA,RW,183,93,R,,,"('6', '180', '2009')","['1-time U20 WJC Bronze Medal', '2-time AHL Calder Cup Champion', '1-time WHL Champion']",
Teemu Pulkkinen,https://www.eliteprospects.com/player/16036/teemu-pulkkinen,1/2/1992,Finland,RW,180,85,R,"['Sniper', 'Speedster']",,"('4', '111', '2010')","['1-time World Championship Silver Medal', '2-time U18 WJC Bronze Medal', '1-time AHL All-Rookie Team', '1-time AHL Calder Cup Champion', '1-time AHL First All-Star Team', '1-time Liiga Rookie of the Year', '1-time U18 WJC All-Star Team', '1-time U18 WJC Best Forward', '1-time U18 WJC Most Points']",Brother: Toni Pulkkinen
Dylan Larkin,https://www.eliteprospects.com/player/177693/dylan-larkin,7/30/1996,USA / Canada,C,185,90,L,"['Speedster', 'Two-Way Center']",Detroit Red Wings / Signed,"('1', '15', '2014')","['1-time U18 WJC Gold Medal', '1-time U17 WHC Bronze Medal', '2-time World Championship Bronze Medal', '1-time NCAA (West) Second All-American Team']","Brother: Colin Larkin
Cousins: Adam Larkin, Ryan Larkin"
Matt Lorito,https://www.eliteprospects.com/player/62740/matt-lorito,7/3/1990,Canada,W/C,175,78,L,,,,['1-time AHL Calder Cup Champion'],
Robbie Russo,https://www.eliteprospects.com/player/38628/robbie-russo,2/15/1993,USA,D,183,88,R,,,"('4', '95', '2011')","['1-time U17 WHC Gold Medal', '1-time U18 WJC Gold Medal', '1-time AHL All-Rookie Team', '1-time AHL Calder Cup Champion', '1-time AHL Second All-Star Team', '1-time NCAA (CCHA) Champion', '1-time NCAA (East) Second All-American Team']",
Joe Hicketts,https://www.eliteprospects.com/player/120210/joe-hicketts,5/4/1996,Canada,D,173,80,L,,Los Angeles Kings / Signed,,"['1-time Hlinka Gretzky Cup Gold Medal', '1-time U20 WJC Gold Medal', '1-time U17 WHC Silver Medal', '1-time U18 WJC Bronze Medal', '1-time AHL Calder Cup Champion', '1-time WHL (West) First All-Star Team', '1-time WHL (West) Second All-Star Team']",
Dominic Turgeon,https://www.eliteprospects.com/player/120642/dominic-turgeon,2/25/1996,USA / Canada,C,187,92,L,['Two-Way Center'],,"('3', '63', '2014')","['1-time U17 WHC Bronze Medal', '1-time AHL Calder Cup Champion', '1-time WHL Champion']","Father : Pierre Turgeon
Uncle : Sylvain Turgeon
Sisters : Elizabeth Turgeon | Valérie Turgeon"
Michael Rasmussen,https://www.eliteprospects.com/player/286738/michael-rasmussen,4/17/1999,Canada,C,197,100,L,,Detroit Red Wings / Signed,"('1', '9', '2017')",['1-time CSSHL U18 Champion'],
Christoffer Ehn,https://www.eliteprospects.com/player/115020/christoffer-ehn,4/5/1996,Sweden,C/LW,190,88,L,"['Defensive Center', 'Energy Forward', 'Two-Way Forward']",,"('4', '106', '2014')","['2-time Champions Hockey League Champion', '1-time SHL Champion']","Ehn is a center with fine defensive instincts and a solid all-around game. A fast skater, a pretty good stick handler, and a very hard worker. Goes hard to net. However, his offensive game is still in development, especially his shot. Has the smarts to play wing if need be.
- Erik K."
Taro Hirose,https://www.eliteprospects.com/player/83462/taro-hirose,6/30/1996,Canada,LW,178,77,L,,,,"['1-time CSSHL U18 Most Valuable Player', '1-time NCAA (Overall) Most Points', '1-time NCAA (West) First All-American Team']",Brother: Akito Hirose
Filip Zadina,https://www.eliteprospects.com/player/236471/filip-zadina,11/27/1999,Czechia,RW/LW,183,89,L,,,"('1', '6', '2018')","['1-time Hlinka Gretzky Cup Gold Medal', '1-time QMJHL All-Rookie Team', '1-time QMJHL First All-Star Team', '1-time U20 WJC All-Star Team']","Filip Zadina is a dynamic offensive forward that plays a complete game. A deft and agile skater, he exhibits explosive mobility both up and down the ice. In all three zones, he proactively looks to create problems for the opposition. His awareness is indicative of his high level of hockey sense, and he knows how to make plays and scoring chances materialize. Has a goal scorer's toolbox, complete with the individual puck skills that one comes to expect from today's elite offensive players. The accurate release on his shot is noteworthy and is a defining aspect of his offensive capabilities. Defensively sound, he disrupts lanes and pressures the opposition to make hasty decisions; he is tenacious in pursuit of puck control and transitions up-ice naturally. All-in-all, Zadina can be categorized as both a two-way forward with a well-rounded game and a dominant offensive force."
Jake Chelios,https://www.eliteprospects.com/player/45669/jake-chelios,3/8/1991,USA / China,D,182,90,L,,,,[],"Father: Chris Chelios
Brother: Dean Chelios
Uncle: Steve Chelios
Cousins: Chris Chelios & Nikos Tselios"
Libor Sulak,https://www.eliteprospects.com/player/115708/libor-sulak,3/4/1994,Czechia,D,190,104,L,,,,['1-time ICEHL Rookie of the Year'],
Ryan Kuffner,https://www.eliteprospects.com/player/247422/ryan-kuffner,6/12/1996,Canada,LW,185,84,L,,,,"['1-time NCAA (ECAC) Champion', '1-time NCAA (East) First All-American Team', '1-time NCAA (East) Second All-American Team']",Great Uncle: Edwin Gorman
Mathias Brome,https://www.eliteprospects.com/player/89968/mathias-brome,7/29/1994,Sweden,LW/RW,182,83,L,"['Offensive Forward', 'Playmaker']",,,['1-time SHL Champion'],Brother: David Bromé
Joe Veleno,https://www.eliteprospects.com/player/271713/joe-veleno,1/13/2000,Canada,C/LW,186,91,L,,Montréal Canadiens / Signed,"('1', '30', '2018')","['1-time Hlinka Gretzky Cup Gold Medal', '1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time QMJHL Champion', '1-time QMJHL First All-Star Team']","There is so much to like about Joe Veleno. He's a hard-nosed workhorse that makes the players around him better. The fleet-footed center is unselfish and will primarily look to make a play at top speed; however, when the chance arises to put it in the pot himself, he will capitalize. He sees the ice well and is rarely caught out of position. His defensive game is refined and he actively pursues puck control. Transitioning to offence is natural, smooth, and quick. All-in-all, a well-rounded two-way forward that skates well and can be the catalyst a team needs to turn a game in its favor. If he can find the consistency in refusing to let himself get taken out of plays, especially if he doesn't start them, he will thrive and exceed expectations."
Lucas Raymond,https://www.eliteprospects.com/player/350702/lucas-raymond,3/28/2002,Sweden,RW,179,85,R,"['Dangler', 'Offensive Forward']",Detroit Red Wings / Signed,"('1', '4', '2020')","['1-time J18 SM Gold Medal', '1-time U18 WJC Gold Medal', '1-time Hlinka Gretzky Cup Silver Medal', '1-time TV-Pucken Bronze Medal', '1-time U17 WHC Bronze Medal', '1-time U20 WJC Bronze Medal', '2-time World Championship Bronze Medal', '2-time Champions Hockey League Champion', '1-time NHL All-Rookie Team']","A very well-rounded and highly skilled winger. Raymond is blessed with exceptional hockey sense. Furthermore, he has terrific hands, great speed and fine work ethic. Plays with plenty of intensity and battles hard for the puck. A nightmare to play against with his forechecking and puck-stealing ability. He also plays a strong two-way game and is a capable penalty killer. Offensively, he has a strong wrist shot and excellent vision. Few weaknesses overall and is a player that doesn't wait for the play to happen, but the one that generates the play and make things happen."
Moritz Seider,https://www.eliteprospects.com/player/258987/moritz-seider,4/6/2001,Germany,D,193,93,R,,Detroit Red Wings / Signed,"('1', '6', '2019')","['1-time World Championship Silver Medal', '1-time DEL Champion', '1-time DEL Rookie of the Year', '1-time NHL All-Rookie Team', '1-time NHL Rookie of the Year (Calder Trophy)', '1-time SHL Best Junior (EliteProspects.com Award)', '1-time SHL Defenseman of the Year', '2-time World Championship All-Star Team', '1-time World Championship Best Defenseman']","Seider is a mobile and very smart two-way defenseman with few weaknesses. Plays a mature game with strong and consistent defensive decisions. Offensively, his vision allows him to be a very good passer and he is also good at getting his shot through."
Kyle Criscuolo,https://www.eliteprospects.com/player/74212/kyle-criscuolo,5/5/1992,USA,C,175,81,R,,,,"['1-time AHL Calder Cup Champion', '1-time NCAA (ECAC) Champion']",Father: Bob Criscuolo
Chase Pearson,https://www.eliteprospects.com/player/245117/chase-pearson,8/23/1997,USA / Canada,C/LW,191,92,L,,,"('5', '140', '2015')",['1-time WJAC-19 Bronze Medal'],Father: Scott Pearson
Jonatan Berggren,https://www.eliteprospects.com/player/274796/jonatan-berggren,7/16/2000,Sweden,RW/LW,180,88,L,,Detroit Red Wings / Signed,"('2', '33', '2018')","['1-time U17 WHC Gold Medal', '1-time Hlinka Gretzky Cup Bronze Medal', '1-time U18 WJC Bronze Medal', '1-time U20 WJC Bronze Medal', '1-time TV-Pucken Most Points', '1-time U20 Nationell (Overall) Most Assists', '1-time U20 Nationell (Overall) Most Points']",
Elmer Soderblom,https://www.eliteprospects.com/player/350706/elmer-soderblom,7/5/2001,Sweden,LW/RW,202,112,L,"['Dangler', 'Net-Front Presence']",Detroit Red Wings / Signed,"('6', '159', '2019')","['1-time J18 SM Gold Medal', '1-time U18 WJC Gold Medal', '1-time Hlinka Gretzky Cup Silver Medal', '1-time TV-Pucken Bronze Medal', '1-time Champions Hockey League Champion', '1-time U20 Nationell (Overall) Most Goals']","Brother: Arvid Söderblom
Father: Martin Söderblom
Second Cousin: David Ström"
Simon Edvinsson,https://www.eliteprospects.com/player/394730/simon-edvinsson,2/5/2003,Sweden,D,199,95,L,,Detroit Red Wings / Signed,"('1', '6', '2021')","['1-time J18 SM Gold Medal', '1-time TV-Pucken Gold Medal', '1-time U18 WJC Bronze Medal', '1-time U20 WJC Bronze Medal', '1-time World Championship Bronze Medal', '1-time SHL Best Junior (EliteProspects.com Award)', '1-time TV-Pucken Best Defenseman (Lill-Strimmas Stipendium)']","Edvinsson is a detailed defender with high-level in-zone instincts, a tight neutral zone gap, well-timed physicality, and supporting instincts to match. He manoeuvres with the puck kept in his hip pocket, with his top hand in control, free from his body. With a smooth and gracious skating stride scaffolded on top of those mechanical handling skills, Edvinsson’s tools sometimes take him to rarified air as a puck-carrier."
Marco Kasper,https://www.eliteprospects.com/player/560848/marco-kasper,4/8/2004,Austria,C,186,92,L,,Detroit Red Wings / Signed,"('1', '8', '2022')",['1-time Champions Hockey League Champion'],"He’s physical and capable along the boards, even in terms of manipulation; he recognizes the angle of defenders coming at him and knows how to beat them and escape them. He passes to the right areas, knows the next logical play in the offensive progression. He goes to the net, hard and often, and with purpose: to screen, rebound, and score. He has good first touches: takes them inside when possible and leads to next play."
Christian Fischer,https://www.eliteprospects.com/player/226901/christian-fischer,4/15/1997,USA,RW/C,188,97,R,['Grinder'],,"('2', '32', '2015')","['1-time U17 WHC Gold Medal', '1-time U18 WJC Gold Medal']","A two-way power forward that specializes in consistency. Skates very well, and accelerates rapidly both forward, on the attack, and backward, on the backcheck. Possesses a quick wrist shot that is very accurate, and is also able to release a bomb of a slapshot. Very well-rounded offensive game, with some flare thrown in at times. Always aware of positioning, as that seems to be a concentrated area of his game. Not afraid to get physical, and exhibits a solid amount of grit every game. All-in-all, a consistent, responsible, and complete forward that can be counted on to step up in the game's key moments."
Albert Johansson,https://www.eliteprospects.com/player/349991/albert-johansson,1/4/2001,Sweden,D,183,84,L,,Detroit Red Wings / Signed,"('2', '60', '2019')","['1-time U18 WJC Gold Medal', '1-time Hlinka Gretzky Cup Silver Medal', '1-time SHL Champion']","Brothers: Oliver Johansson, Gabriel Johansson
Father: Roger Johansson
Uncle: Ronnie Johansson"
Dominik Shine,https://www.eliteprospects.com/player/45858/dominik-shine,4/18/1993,USA,C/RW,180,82,R,,Detroit Red Wings / Signed,,[],
Carter Mazur,https://www.eliteprospects.com/player/201766/carter-mazur,3/28/2002,USA,LW,183,78,R,,Detroit Red Wings / Signed,"('3', '70', '2021')","['1-time NCAA (Championship) Winner', '1-time NCAA (West) Second All-American Team']",
Stu Barnes,https://www.eliteprospects.com/player/9074/stu-barnes,12/25/1970,Canada / USA,C,180,83,R,['PK Specialist'],,"('1', '4', '1989')","['1-time U20 WJC Gold Medal', '2-time WHL (West) Second All-Star Team', '1-time WHL Player of the Year (Four Broncos Trophy)', '1-time WHL Rookie of the Year (Jim Piggott Trophy)']",Son: Jack Barnes
Maxim Afinogenov,https://www.eliteprospects.com/player/8672/maxim-afinogenov,9/4/1979,Russia,RW/LW,182,88,L,"['Dangler', 'Offensive Forward', 'Speedster']",,"('3', '69', '1997')","['1-time U18 EJC Gold Medal', '1-time U20 WJC Gold Medal', '1-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '2-time World Championship Silver Medal', '1-time Olympic Bronze Medal', '1-time World Championship Bronze Medal', '1-time RSL Champion', '1-time Spengler Cup Winner', '1-time U20 WJC Best Forward']","A very speedy winger with terrific hands and stickhandling ability. Likes to challenge defenders on-on-one, but isn't overly successful at it. Will give the puck up a lot due to this. Isn't very good defensively."
Vaclav Varada,https://www.eliteprospects.com/player/8661/vaclav-varada,4/26/1976,Czechia,RW,183,95,L,"['Agitator', 'Physical Forward', 'Power Forward']",,"('4', '89', '1994')","['2-time World Championship Gold Medal', '1-time U18 EJC Bronze Medal', '1-time AHL Calder Cup Champion', '1-time Czech Extraliga Champion', '1-time NL Champion', '1-time Spengler Cup Winner']",
Vladimir Tsyplakov,https://www.eliteprospects.com/player/43116/vladimir-tsyplakov,4/18/1969,Belarus / Russia,LW,188,87,L,,,"('3', '59', '1995')","['1-time U20 WJC Gold Medal', '1-time Belarus Champion', '3-time Belarus Player of the Year']","Vladimir Tsyplakov died on December 14, 2019."
James Patrick,https://www.eliteprospects.com/player/32586/james-patrick,6/14/1963,Canada,D,188,91,R,,,"('1', '9', '1981')","['1-time U20 WJC Gold Medal', '1-time World Championship Silver Medal', '1-time Canada Cup Champion', '1-time NCAA (Championship) Winner', '1-time NCAA (West) First All-American Team', '1-time SJHL Champion']","Brother: Steve Patrick
Nephew: Nolan Patrick

James Patrick was selected 9th overall in 1981 after scoring 82 points with the Prince Albert Raiders. The following year he won an NCAA Championship with the University of North Dakota and a World Juniors Championship with Canada. The offensive defenseman played his first season with the Rangers in 1985 and scored at least 10 goals and 43 points from 1986-92. Patrick set career highs in 1988 with 17 goals and 1992 with 71 points. He also won a Canada Cup in 1988 and retired from the NHL in 2005 with 149 goals and 490 assists."
Rob Ray,https://www.eliteprospects.com/player/42518/rob-ray,6/8/1968,Canada,RW,183,101,L,['Enforcer'],,"('5', '97', '1988')","['1-time NHL Foundation Player Award', '1-time NHL Leadership-Humanitarian Award (King Clancy Trophy)']",
Chris Taylor,https://www.eliteprospects.com/player/14509/chris-taylor,3/6/1972,Canada,C,182,90,L,,,"('2', '27', '1990')",['1-time OHL Third All-Star Team'],Brother: Tim Taylor
Doug Houda,https://www.eliteprospects.com/player/67252/doug-houda,6/3/1966,Canada,D,188,94,R,"['Defensive Defenseman', 'Heavy Hitter']",,"('2', '28', '1984')","['1-time AHL Calder Cup Champion', '1-time AHL First All-Star Team']",
Sean McMorrow,https://www.eliteprospects.com/player/22627/sean-mcmorrow,1/19/1982,Canada / Ireland,RW,193,104,R,,,"('8', '258', '2000')",['1-time EIHL Champion'],
Jaroslav Kristek,https://www.eliteprospects.com/player/9631/jaroslav-kristek,3/16/1980,Czechia,C/RW,185,89,L,,,"('2', '50', '1998')","['1-time U20 WJC Gold Medal', '2-time Belarus Champion', '1-time Continental Cup Champion', '1-time Czech Extraliga Champion', '1-time Slovakian Extraliga Champion']",
Radoslav Hecl,https://www.eliteprospects.com/player/58482/radoslav-hecl,10/11/1974,Slovakia,D,187,89,L,,,"('7', '208', '2002')","['1-time U18 EJC Gold Medal', '1-time World Championship Gold Medal', '1-time Slovakian Extraliga All-Star Team', '5-time Slovakian Extraliga Champion']",
Jason Pominville,https://www.eliteprospects.com/player/8809/jason-pominville,11/30/1982,Canada / USA,RW,180,82,R,,,"('2', '55', '2001')","['1-time CHL Third All-Star Team', '1-time QMJHL First All-Star Team']","Father: Jean-Marie Pominville Son: Jayden Pominville

Pominville finished 3rd in points from the 2001 draft class despite being selected 55th overall. He played in his first NHL season in 2006 and set a career-high in 2008 with 80 points. He was a 3x 30-goal scorer and reached the 60-point mark 6 times. The 2012 All-Star scored 293 goals and 727 points over 15 seasons with the Sabres and Wild."
Teppo Numminen,https://www.eliteprospects.com/player/2684/teppo-numminen,7/3/1968,Finland,D,185,90,R,"['Glue Guy', 'Leader', 'Two-Way Defenseman']",,"('2', '29', '1986')","['1-time U18 EJC Gold Medal', '2-time Olympic Silver Medal', '1-time U20 WJC Bronze Medal', '1-time Olympic Bronze Medal', '1-time Finnish Hockey Hall of Fame', '1-time IIHF Hall of Fame', '3-time Liiga Champion', '1-time U20 WJC All-Star Team', '1-time U20 WJC Best Defenseman', '1-time World Championship All-Star Team']","Son: Nicklas Numminen
Father: Kalevi Numminen
Brother: Teemu Numminen
Godson: Julius Mattila

Teppo Numminen is the highest-scoring Finnish defenseman in NHL history. He was selected 29th overall in 1986 after winning his first of 3 straight SM-liiga Championships with Tappara. He reached the 30-point mark 12 times over his 20-year career and set a career-high with 54 points in 1996. The 3x All-Star retired in 2009 with 117 goals and 637 points."
Michael Funk,https://www.eliteprospects.com/player/9482/michael-funk,9/15/1986,Canada,D,193,95,L,,,"('2', '43', '2004')",[],"Funk was a defensive defenseman with great size and reach. A big man, he could also play a mean physical game.
- Erik K."
Patrick Kaleta,https://www.eliteprospects.com/player/10990/patrick-kaleta,6/8/1986,USA,RW,185,90,R,['Agitator'],,"('6', '176', '2004')",['1-time OHL Champion'],"Wife: Maddie Elia
Brother: Chris Kaleta
Brother-in-law: Thomas Elia"
Mike Card,https://www.eliteprospects.com/player/10350/mike-card,2/18/1986,Canada / Germany,D,188,91,R,,,"('8', '241', '2004')","['1-time CHL Memorial Cup Champion', '2-time WHL Champion']",
Colin Stuart,https://www.eliteprospects.com/player/11570/colin-stuart,7/8/1982,USA,C/LW,188,92,L,,,"('5', '135', '2001')",['1-time AHL Calder Cup Champion'],"Brothers: Mike Stuart & Mark Stuart
Sister: Cristin Stuart"
Marcus Foligno,https://www.eliteprospects.com/player/18601/marcus-foligno,8/10/1991,Canada / USA,LW/RW,191,103,L,['Heavy Hitter'],Minnesota Wild / Signed,"('4', '104', '2009')","['1-time U20 WJC Silver Medal', '1-time OHL Second All-Star Team']","Father: Mike Foligno
Brother: Nick Foligno
Cousin: Lucas Theriault
Great-Uncle-in-Law: Eddie Giacomin
Cousin-in-Law: Wade Redden"
Travis Turnbull,https://www.eliteprospects.com/player/33251/travis-turnbull,7/7/1986,USA / Germany,C,183,88,R,,,,"['1-time DEL Champion', '1-time NCAA (CCHA) Champion']","Travis John Turnbull was known as two-way forward with a lot of grit and aggression to his game. A pretty good skater, he could play anywhere up front."
Derek Whitmore,https://www.eliteprospects.com/player/15061/derek-whitmore,12/17/1984,USA,LW,180,84,L,,,,[],"Whitmore is a hard working winger who knows where to go to score goals. Skates well and can play any forward position, and on the penalty kill.
- Erik K."
Casey Nelson,https://www.eliteprospects.com/player/90050/casey-nelson,7/18/1992,USA,D,185,84,R,,,,[],Brother: Josh Nelson
Cole Schneider,https://www.eliteprospects.com/player/45963/cole-schneider,8/26/1990,USA,W/C,184,88,L,,,,"['1-time Norway Most Goals', '1-time Norway Most Points', '1-time Norwegian Champion']","Schneider is a big winger with good speed. Uses his size well and drives the net. Can get to rebounds and deflect shots. Protects the puck well along the boards and in the corners.
- Erik K."
Nick Baptiste,https://www.eliteprospects.com/player/106161/nicholas-baptiste,8/4/1995,Canada,C/RW,185,95,R,,,"('3', '69', '2013')","['1-time U18 WJC Gold Medal', '1-time U17 WHC Bronze Medal', '1-time Liiga Champion', '1-time OHL Third All-Star Team']",Brother : Isaiah Baptiste
Erik Burgdoerfer,https://www.eliteprospects.com/player/32546/erik-burgdoerfer,12/11/1988,USA,D,185,94,R,,,,[],Twin Brother: Greg Burgdoerfer
Brady Austin,https://www.eliteprospects.com/player/45403/brady-austin,6/16/1993,Canada,D,193,105,L,,,"('7', '193', '2012')","['1-time Czech Extraliga Best Defenseman', '1-time Liiga Champion']","Father: Steve Austin
Brother: Riley Austin"
